word,category,meanings,is
अमला,ना.,मझौला खालको रूखमा गोला रसिला अमिलो स्वादका भित्र बियो हुने दाना भएको फल,IIS
अमात्य,सङ्.  ना.,प्राचीन समयमा प्रचलनमा रहेको अहिलेको मन्त्री जस्तै  पद,ISI
अमिलो,ना.,"निबुवा, कागतीको रस जस्तो स्वाद; त्यस्तो स्वाद भएको वस्तु
कागती, निबुवाको रस जस्तो स्वाद भएको",IIS
अमृत,ना.,"शरीरमा फाइदा पुर्याउने पदार्थ 
सधैंभरि बँचिरहन सक्ने क्षमता प्रदान गर्ने विश्वास गरिएको पदार्थ",III
अमेरिकन,सङ्.  ना.,"अमेरिकाका नागरिक
अमेरिका र त्यहाँका मानिससँग सम्बन्धित; अमेरिकाको; अमरिकामा विकास भएको वा प्रचलित",ISIII
अम्बा,सङ्.  ना.,"खस्रा र खैरा पात हुने, विशेषगरी बोक्रा फेरिइरहने रूख वा त्यसको फल; बेलौती",SS
अरब,संवा.,सय करोडको संख्या ,III
अराजक,वि.,"कानुनको पालना नभएको
कानुनको नियन्त्रणमा नरहेको; जथाभावी गर्ने",ISII
अरू,वि.,"उल्लेख गरिएकोभन्दा बाहेक; अन्य वा अर्को
सन्दर्भ, प्रसङ्ग वा उल्लेख भएभन्दा अर्को व्यक्ति वा वस्तु",IS
अरे,नि.,"आफूले भनेको नभई अरू कसैले भनेको हो भनी बुझाउन प्रयोग गरिने शब्द; रे
आश्चर्य अथवा उदेक जनाउन प्रयोग गरिने शब्द
कसैलाई अनौपचारिक रुपमा सम्बोधन गर्दा प्रयोग गरिने शब्द",IS
अर्को,स.,अरू,SS
अर्चना,असङ्.  ना.,पूजा आरधना,SIS
अर्डर,ना.,आदेश वा निर्देशन,SII
अर्ती,ना.,राम्रो कामका लागि आफूभन्दा ठूलाले दिने सुझाव वा सल्लाह; उपदेश,SS
अर्थविद्,सङ्.  ना.,अर्थशास्त्र वा अर्थ ब्यवस्थाको राम्रो ज्ञान भएको व्यक्ति,SIS
अर्थात्,सं.,"पहिले भनिएको शब्द, उपवाक्य वा वाक्यलाई अर्को ढङ्गले स्पष्ट पार्न प्रयोग गरिने शब्द; वा; अथवा",SS
अर्ध,अंवा.  वि.,कुनै वस्तुको मात्रा; गुण वा विशेषतामा दुई भागको एक भाग; आधा,SI
अर्पण,असङ्.  ना.,दिने वा चढाउने काम,SII
अर्ब,संवा.,"सय करोडको सङ्ख्या; १,००,००,००,०००",SI
अलग,वि.,"छुट्टिने वा छुट्ट्याउने काम
उल्लेख गरिए भन्दा  फरक; भिन्न",III
अलङ्कार,ना.,"शरीरलाई सजाउन र शोभा बढाउन प्रयोग गरिने गहना; आभूषण
राम्रो काम गर्ने व्यक्तिलाई राज्यले दिने एक प्रकारको सम्मानजनक विभूषण
स्नातक तह सरहको उपाधी
साहित्यमा भाषाको मिठास बढाउन प्रयोग गरिने रूपक, उपमा आदि विविध शैली",ISSI
अलपत्र,वि.,कुनै उपाय नभएर बिचल्लीमा परेको; बेठेगान भएको,IISI
अलमल,ना.,"के गर्ने, के नगर्ने भन्ने असमञ्जसको स्थिति",IIII
अलमल्ल,गुवा.  वि.,के गर्ने के नगर्ने भनेर अलमलिएको,IISI
अलावा,नायो.,बाहेक; अतिरिक्त,ISS
अलि,क्रियो.,"थोरै परिमाणको, केही
भैरहेकोमा केही थप; अरू, बढी",II
अलिक,क्रियो.,"थोरै; अलि; केही
थोरै; अलि; केही",III
अलिकति,अंवा.  वि.,मात्रात्मक रूपमा थोरै,IIII
अल्छी,असङ्.  ना.,"जाँगर नभएको अवस्था
जाँगर नभएको व्यक्ति
जाँगर नभएको",SS
अल्प,वि.,सङ्ख्या वा परिमाणमा कम; थोरै,SI
अल्बम,ना.,"विद्युतीय टेपमा रेकर्ड गरेर तयार गरिएको गीत, गजल  आदिको सँगालो
फोटो, हस्ताक्षर, टिकट आदि सङ्कलन गरेर राख्ने  नोटबुक जस्तो वस्तु",SII
अल्लारे,वि.,"परिपक्क नभएको; छाडा
गन्तव्य नभएको; लक्ष्य नभएको",SSS
अवकाश,ना.,"जागिर, नोकरी वा सेवाबाट मुक्ति, छुटकारा
खाली ठाउँ; नभरिएको स्थान",IISI
अवगत,ना.,"थाहा वा जानकारी
थाहा पाएको; जानकार
परिचित, अभ्यस्त",IIII
अवज्ञा,ना.,"आज्ञा, आदेश वा अनुरोध नमान्ने काम",ISS
